run_id,space,perturbation,n_pred_cells,n_real_cells,pearson_delta,spearman_delta,rmse_delta,mae_delta,cosine_delta,uer20,uer50,uer100,sign_flip_rate,null_source,null_status,bns_status
S1_norman_l1,audit_delta,PTPN12+ZBTB25,257,257,0.7145043611526489,0.2361747157837999,0.06479457765817642,0.01819133758544922,0.7127575278282166,0.0,0.0,0.0,0.15019762845849802,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,PTPN13,226,226,0.5315583944320679,0.25404392469597964,0.03819643333554268,0.012822582386434078,0.5316253900527954,0.0,0.0,0.01,0.16996047430830039,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,RUNX1T1,631,631,0.013259664177894592,0.11142891880111945,0.03871973231434822,0.012062275782227516,0.014607548713684082,0.0,0.0,0.02,0.34782608695652173,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,S1PR2,446,446,0.6107523441314697,0.26176464670163724,0.04485262930393219,0.013435875065624714,0.6107032299041748,0.0,0.02,0.01,0.13043478260869565,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,SET,512,512,0.24523529410362244,0.1491462078400718,0.07210370898246765,0.021388808265328407,0.24411678314208984,0.0,0.0,0.0,0.33201581027667987,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,SGK1,446,446,0.7498595118522644,0.3096188936568025,0.033118028193712234,0.011012673377990723,0.7498497366905212,0.0,0.0,0.01,0.07905138339920949,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,SLC4A1,853,853,0.2407957911491394,0.11164663617350334,0.05797746032476425,0.017238326370716095,0.23704898357391357,0.0,0.0,0.0,0.32806324110671936,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,TP73,218,218,0.7602030634880066,0.3834816515063295,0.1004156544804573,0.02921326458454132,0.7603871822357178,0.0,0.0,0.0,0.05138339920948617,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,UBASH3B,513,513,0.6928771138191223,0.24415164340410236,0.026772184297442436,0.009893391281366348,0.69075608253479,0.0,0.0,0.0,0.1857707509881423,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,AHR+KLF1,412,412,0.11632700264453888,0.08047189605252972,0.07282013446092606,0.020016781985759735,0.11716270446777344,0.05,0.02,0.01,0.4189723320158103,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,ATL1,305,305,0.7255911827087402,0.2175921688745015,0.052663691341876984,0.016487177461385727,0.7239417433738708,0.0,0.0,0.0,0.1422924901185771,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,BAK1,534,534,-0.014473207294940948,-0.042634456562279294,0.037715088576078415,0.0125196548178792,-0.014525055885314941,0.0,0.0,0.0,0.5098814229249012,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,BAK1+BCL2L11,153,153,0.01748335361480713,-0.055767203690990946,0.04175986722111702,0.014658641070127487,0.017231285572052002,0.0,0.0,0.0,0.5731225296442688,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,BCL2L11+TGFBR2,382,382,0.29004985094070435,0.006925085742872476,0.04135720059275627,0.014548529870808125,0.2886531352996826,0.0,0.02,0.01,0.4426877470355731,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,BPGM,393,393,0.5205166339874268,0.15580311463441188,0.0454048253595829,0.013842718675732613,0.5191633105278015,0.0,0.0,0.0,0.2134387351778656,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,C19ORF26,750,750,0.5386673808097839,0.182612230022962,0.02737549878656864,0.009658774361014366,0.5392839908599854,0.0,0.0,0.0,0.1857707509881423,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CBFA2T3+POU3F2,202,202,0.6744855642318726,0.257820512696116,0.05380791798233986,0.018523715436458588,0.6729762554168701,0.0,0.0,0.0,0.14624505928853754,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CBFA2T3+PRDM1,109,109,0.7574595212936401,0.2474633084602454,0.09065981954336166,0.029920632019639015,0.7524431347846985,0.0,0.0,0.0,0.09881422924901186,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CBL+TGFBR2,156,156,0.4771190881729126,0.15799388376696805,0.05407113954424858,0.015217374078929424,0.47491133213043213,0.0,0.0,0.0,0.233201581027668,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CBL+UBASH3A,50,50,0.5267714858055115,0.1728650859918996,0.06518560647964478,0.02075469121336937,0.5267308354377747,0.0,0.0,0.0,0.20553359683794467,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CBL+UBASH3B,326,326,0.7234373092651367,0.24718665462727402,0.0801515206694603,0.021679488942027092,0.721869707107544,0.0,0.0,0.0,0.13043478260869565,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CDKN1A,131,131,0.5387436151504517,0.18480250882143542,0.052818235009908676,0.017225181683897972,0.5382958054542542,0.0,0.0,0.0,0.20553359683794467,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CDKN1B,145,145,0.7191402316093445,0.20487442287048732,0.03010905161499977,0.011561064049601555,0.7189292311668396,0.0,0.0,0.0,0.14624505928853754,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CDKN1B+CDKN1C,79,79,0.5689677000045776,0.19750508580547046,0.06015758961439133,0.019874583929777145,0.5690951943397522,0.0,0.0,0.0,0.16996047430830039,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CEBPA,258,258,0.30891185998916626,0.17456977206807167,0.16633209586143494,0.053759269416332245,0.31001991033554077,0.0,0.0,0.0,0.31225296442687744,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CEBPA+CEBPB,75,75,0.2611274719238281,0.09308478301583709,0.17480824887752533,0.05746668577194214,0.24264931678771973,0.0,0.0,0.0,0.3438735177865613,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CEBPA+KLF1,308,308,0.46326640248298645,0.27297264703345386,0.12690405547618866,0.039312537759542465,0.46702104806900024,0.0,0.0,0.0,0.18972332015810275,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CEBPB,240,240,0.5187011361122131,0.3081130069369559,0.07326070219278336,0.022664016112685204,0.5201926231384277,0.0,0.02,0.01,0.16205533596837945,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CEBPB+FOSB,85,85,0.28632062673568726,0.1161197552899677,0.14445757865905762,0.046659134328365326,0.2839147448539734,0.0,0.0,0.01,0.34782608695652173,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CEBPE+ETS2,320,320,0.12738949060440063,0.1571736460778581,0.09182464331388474,0.025990674272179604,0.1305139660835266,0.0,0.0,0.0,0.34782608695652173,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CEBPE+SET,529,529,0.17179447412490845,0.1319237851099398,0.06635502725839615,0.01840495690703392,0.17221903800964355,0.0,0.0,0.0,0.3952569169960474,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CEBPE+SPI1,175,175,0.32267242670059204,0.14168865949690268,0.15568093955516815,0.04986884072422981,0.32117146253585815,0.0,0.0,0.0,0.2766798418972332,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CLDN6,281,281,0.7246428728103638,0.27908844802156696,0.048855382949113846,0.014319603331387043,0.7246427536010742,0.0,0.0,0.0,0.07509881422924901,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CNN1+ETS2,785,785,0.4847744107246399,0.212727048448879,0.03924998268485069,0.01174729224294424,0.4849674701690674,0.0,0.0,0.0,0.2490118577075099,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,CNN1+UBASH3B,355,355,0.6606013774871826,0.2165562835138377,0.09296510368585587,0.023072758689522743,0.6568568348884583,0.0,0.0,0.0,0.12648221343873517,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,COL2A1,247,247,0.1006416380405426,0.0991112893348238,0.07610107213258743,0.021628091111779213,0.10242825746536255,0.0,0.0,0.0,0.4031620553359684,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,DUSP9,662,662,0.6391906142234802,0.24839087238171298,0.06112801656126976,0.01695958338677883,0.6392019987106323,0.0,0.0,0.01,0.16205533596837945,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,DUSP9+KLF1,320,320,0.5230513215065002,0.20229993587875192,0.08949799090623856,0.021425096318125725,0.5238466262817383,0.0,0.0,0.0,0.16600790513833993,median_abs_raw_delta,sensitivity_only,UNVERIFIED
